# Pick And Place List
# Company=
# Author=
# eMail=
#
# Project=BOM_washdrypcv_kill
# Date=07:52:37
# CreatedBy=Fritzing 1.0.4.2024-10-07.CD-2051-0-a8c6ef7c
#
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB
# Rotation in degree (0-360, math. pos.)
#
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
J534,";;;;;;;;","THT",1240.24,284.837,-90,Bottom,THT
J569,";;;;;;;;","THT",2180.6,2516.92,90,Bottom,THT
J581,";;;;;;;;","THT",680.6,2716.92,90,Bottom,THT
R44,"220;;;;;0.25W;;;","THT",3240.3,584.837,180,Bottom,THT
J558,";;;;;;;;","THT",3390.24,984.837,90,Bottom,THT
Q29,";;;;;;;;","TO92 [THT]",3288.1,1913.42,0,Bottom,THT
J532,";;;;;;;;","THT",890.244,84.837,-90,Bottom,THT
R45,"220;;;;;0.25W;;;","THT",2980.6,1716.93,-90,Bottom,THT
J562,";;;;;;;;","THT",2880.6,2916.92,90,Bottom,THT
J586,";;;;;;;;","THT",1980.6,816.926,90,Bottom,THT
J542,";;;;;;;;","THT",3440.24,2234.83,0,Bottom,THT
